,synid,class_name,urls,flickr_urls,imageNet2012_class_id
7,n00021265,food,1272,1239,582.0
32,n00442847,dip,1716,984,20.0
33,n00442981,dive,659,530,983.0
72,n00449295,racing,1250,1019,751.0
120,n00466880,croquet,1166,681,522.0
126,n00468480,football,1815,921,560.0
131,n00470966,rugby,1732,669,768.0
147,n00476389,cricket,1269,880,312.0
151,n00478262,soccer,1395,1366,805.0
157,n00480211,volleyball,1735,566,890.0
161,n00480993,basketball,1838,768,430.0
165,n00482298,tennis,1837,683,852.0
173,n00523513,sport,1888,594,817.0
196,n01317813,feeder,1365,1155,319.0
197,n01317916,feeder,782,674,319.0
201,n01318478,migrator,118,17,15.0
210,n01321230,male,908,502,249.0
216,n01322343,pup,1229,679,29.0
218,n01322604,puppy,1386,704,29.0
219,n01322685,cub,1270,916,983.0
321,n01403457,kelp,3,2,227.0
359,n01440764,tench,1133,375,0.0
364,n01442450,roach,66,31,314.0
365,n01442710,rudd,347,33,139.0
368,n01443537,goldfish,1172,664,1.0
460,n01484850,great white shark,1242,1203,2.0
462,n01486010,thresher,385,73,856.0
475,n01491361,tiger shark,1019,780,3.0
486,n01494475,hammerhead,1094,771,4.0
492,n01496331,electric ray,967,328,5.0
496,n01498041,stingray,1364,1351,6.0
525,n01518878,ostrich,1393,975,9.0
547,n01530575,brambling,1488,670,10.0
548,n01531178,goldfinch,1379,1237,11.0
549,n01531344,linnet,1148,637,12.0
556,n01532829,house finch,1487,1353,12.0
560,n01533651,serin,951,466,14.0
563,n01534433,junco,1456,1415,13.0
574,n01537134,bunting,1544,1392,14.0
575,n01537544,indigo bunting,1296,1058,14.0
641,n01558993,robin,1329,1106,15.0
648,n01560419,bulbul,1036,878,16.0
656,n01562265,robin,1208,1039,15.0
717,n01579028,crow,1200,1187,651.0
723,n01580077,jay,1257,1253,17.0
733,n01582220,magpie,1402,1368,18.0
752,n01587834,thrasher,1107,862,856.0
765,n01592084,chickadee,1408,1376,19.0
801,n01601694,water ouzel,1028,706,20.0
813,n01605630,hawk,1826,1680,319.0
826,n01608432,kite,1166,779,21.0
852,n01614925,bald eagle,1263,1126,22.0
858,n01616318,vulture,1418,1284,23.0
878,n01622779,great grey owl,1117,940,24.0
892,n01627424,amphibian,1237,1158,408.0
896,n01629819,European fire salamander,1153,732,25.0
897,n01629962,spotted salamander,1174,524,28.0
